"sektor","kön","månad","tabellinnehåll","Antal pågående anställningar"
"staten","kvinnor","2016M08","Antal pågående anställningar",..
"staten","kvinnor","2016M08","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2016M08","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2016M08","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2016M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2016M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2016M09","Antal pågående anställningar",..
"staten","kvinnor","2016M09","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2016M09","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2016M09","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2016M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2016M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2016M10","Antal pågående anställningar",..
"staten","kvinnor","2016M10","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2016M10","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2016M10","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2016M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2016M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2016M11","Antal pågående anställningar",..
"staten","kvinnor","2016M11","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2016M11","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2016M11","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2016M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2016M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2016M12","Antal pågående anställningar",..
"staten","kvinnor","2016M12","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2016M12","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2016M12","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2016M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2016M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M01","Antal pågående anställningar",..
"staten","kvinnor","2017M01","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M01","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M01","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M02","Antal pågående anställningar",..
"staten","kvinnor","2017M02","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M02","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M02","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M03","Antal pågående anställningar",..
"staten","kvinnor","2017M03","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M03","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M03","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M04","Antal pågående anställningar",..
"staten","kvinnor","2017M04","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M04","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M04","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M05","Antal pågående anställningar",..
"staten","kvinnor","2017M05","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M05","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M05","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M06","Antal pågående anställningar",..
"staten","kvinnor","2017M06","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M06","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M06","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M07","Antal pågående anställningar",..
"staten","kvinnor","2017M07","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M07","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M07","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M08","Antal pågående anställningar",..
"staten","kvinnor","2017M08","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M08","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M08","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M09","Antal pågående anställningar",..
"staten","kvinnor","2017M09","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M09","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M09","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M10","Antal pågående anställningar",..
"staten","kvinnor","2017M10","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M10","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M10","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M11","Antal pågående anställningar",..
"staten","kvinnor","2017M11","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M11","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M11","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2017M12","Antal pågående anställningar",..
"staten","kvinnor","2017M12","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2017M12","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2017M12","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2017M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2017M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M01","Antal pågående anställningar",..
"staten","kvinnor","2018M01","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M01","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M01","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M02","Antal pågående anställningar",..
"staten","kvinnor","2018M02","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M02","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M02","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M03","Antal pågående anställningar",..
"staten","kvinnor","2018M03","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M03","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M03","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M04","Antal pågående anställningar",..
"staten","kvinnor","2018M04","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M04","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M04","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M05","Antal pågående anställningar",..
"staten","kvinnor","2018M05","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M05","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M05","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M06","Antal pågående anställningar",..
"staten","kvinnor","2018M06","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M06","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M06","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M07","Antal pågående anställningar",..
"staten","kvinnor","2018M07","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M07","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M07","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M08","Antal pågående anställningar",..
"staten","kvinnor","2018M08","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M08","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M08","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M09","Antal pågående anställningar",..
"staten","kvinnor","2018M09","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M09","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M09","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M10","Antal pågående anställningar",..
"staten","kvinnor","2018M10","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M10","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M10","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M11","Antal pågående anställningar",..
"staten","kvinnor","2018M11","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M11","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M11","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2018M12","Antal pågående anställningar",..
"staten","kvinnor","2018M12","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2018M12","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2018M12","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M01","Antal pågående anställningar",..
"staten","kvinnor","2019M01","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M01","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M01","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M02","Antal pågående anställningar",..
"staten","kvinnor","2019M02","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M02","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M02","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M03","Antal pågående anställningar",..
"staten","kvinnor","2019M03","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M03","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M03","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M04","Antal pågående anställningar",..
"staten","kvinnor","2019M04","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M04","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M04","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M05","Antal pågående anställningar",..
"staten","kvinnor","2019M05","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M05","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M05","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M06","Antal pågående anställningar",..
"staten","kvinnor","2019M06","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M06","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M06","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M07","Antal pågående anställningar",..
"staten","kvinnor","2019M07","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M07","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M07","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M08","Antal pågående anställningar",..
"staten","kvinnor","2019M08","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M08","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M08","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M09","Antal pågående anställningar",..
"staten","kvinnor","2019M09","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M09","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M09","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M10","Antal pågående anställningar",..
"staten","kvinnor","2019M10","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M10","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M10","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M11","Antal pågående anställningar",..
"staten","kvinnor","2019M11","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M11","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M11","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2019M12","Antal pågående anställningar",..
"staten","kvinnor","2019M12","Antal pågående anställningar - anställningstid >6 månader",..
"staten","kvinnor","2019M12","Antal pågående anställningar - anställningstid <=6 månader",..
"staten","kvinnor","2019M12","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2019M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2019M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M01","Antal pågående anställningar",147781
"staten","kvinnor","2020M01","Antal pågående anställningar - anställningstid >6 månader",122330
"staten","kvinnor","2020M01","Antal pågående anställningar - anställningstid <=6 månader",25451
"staten","kvinnor","2020M01","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M02","Antal pågående anställningar",151323
"staten","kvinnor","2020M02","Antal pågående anställningar - anställningstid >6 månader",123367
"staten","kvinnor","2020M02","Antal pågående anställningar - anställningstid <=6 månader",27956
"staten","kvinnor","2020M02","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M03","Antal pågående anställningar",151006
"staten","kvinnor","2020M03","Antal pågående anställningar - anställningstid >6 månader",125623
"staten","kvinnor","2020M03","Antal pågående anställningar - anställningstid <=6 månader",25383
"staten","kvinnor","2020M03","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M04","Antal pågående anställningar",150337
"staten","kvinnor","2020M04","Antal pågående anställningar - anställningstid >6 månader",125858
"staten","kvinnor","2020M04","Antal pågående anställningar - anställningstid <=6 månader",24479
"staten","kvinnor","2020M04","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M05","Antal pågående anställningar",149092
"staten","kvinnor","2020M05","Antal pågående anställningar - anställningstid >6 månader",125453
"staten","kvinnor","2020M05","Antal pågående anställningar - anställningstid <=6 månader",23639
"staten","kvinnor","2020M05","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M06","Antal pågående anställningar",154633
"staten","kvinnor","2020M06","Antal pågående anställningar - anställningstid >6 månader",125354
"staten","kvinnor","2020M06","Antal pågående anställningar - anställningstid <=6 månader",29279
"staten","kvinnor","2020M06","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M07","Antal pågående anställningar",150151
"staten","kvinnor","2020M07","Antal pågående anställningar - anställningstid >6 månader",125651
"staten","kvinnor","2020M07","Antal pågående anställningar - anställningstid <=6 månader",24500
"staten","kvinnor","2020M07","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M08","Antal pågående anställningar",147582
"staten","kvinnor","2020M08","Antal pågående anställningar - anställningstid >6 månader",126360
"staten","kvinnor","2020M08","Antal pågående anställningar - anställningstid <=6 månader",21222
"staten","kvinnor","2020M08","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M09","Antal pågående anställningar",152095
"staten","kvinnor","2020M09","Antal pågående anställningar - anställningstid >6 månader",126727
"staten","kvinnor","2020M09","Antal pågående anställningar - anställningstid <=6 månader",25368
"staten","kvinnor","2020M09","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M10","Antal pågående anställningar",152834
"staten","kvinnor","2020M10","Antal pågående anställningar - anställningstid >6 månader",126967
"staten","kvinnor","2020M10","Antal pågående anställningar - anställningstid <=6 månader",25867
"staten","kvinnor","2020M10","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M11","Antal pågående anställningar",155624
"staten","kvinnor","2020M11","Antal pågående anställningar - anställningstid >6 månader",127644
"staten","kvinnor","2020M11","Antal pågående anställningar - anställningstid <=6 månader",27980
"staten","kvinnor","2020M11","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2020M12","Antal pågående anställningar",157985
"staten","kvinnor","2020M12","Antal pågående anställningar - anställningstid >6 månader",129041
"staten","kvinnor","2020M12","Antal pågående anställningar - anställningstid <=6 månader",28944
"staten","kvinnor","2020M12","Årlig förändring av antalet pågående anställningar, procent",..
"staten","kvinnor","2020M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"staten","kvinnor","2020M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"staten","kvinnor","2021M01","Antal pågående anställningar",150682
"staten","kvinnor","2021M01","Antal pågående anställningar - anställningstid >6 månader",127692
"staten","kvinnor","2021M01","Antal pågående anställningar - anställningstid <=6 månader",22990
"staten","kvinnor","2021M01","Årlig förändring av antalet pågående anställningar, procent",2.0
"staten","kvinnor","2021M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",4.4
"staten","kvinnor","2021M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-9.7
"staten","kvinnor","2021M02","Antal pågående anställningar",153046
"staten","kvinnor","2021M02","Antal pågående anställningar - anställningstid >6 månader",128862
"staten","kvinnor","2021M02","Antal pågående anställningar - anställningstid <=6 månader",24184
"staten","kvinnor","2021M02","Årlig förändring av antalet pågående anställningar, procent",1.1
"staten","kvinnor","2021M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",4.5
"staten","kvinnor","2021M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-13.5
"staten","kvinnor","2021M03","Antal pågående anställningar",154518
"staten","kvinnor","2021M03","Antal pågående anställningar - anställningstid >6 månader",130928
"staten","kvinnor","2021M03","Antal pågående anställningar - anställningstid <=6 månader",23590
"staten","kvinnor","2021M03","Årlig förändring av antalet pågående anställningar, procent",2.3
"staten","kvinnor","2021M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",4.2
"staten","kvinnor","2021M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-7.1
"staten","kvinnor","2021M04","Antal pågående anställningar",157055
"staten","kvinnor","2021M04","Antal pågående anställningar - anställningstid >6 månader",131643
